video_class_id,num,label_id
HorseRace,124,40
StillRings,112,85
ApplyLipstick,114,1
HammerThrow,150,35
VolleyballSpiking,116,96
Biking,134,10
PlayingCello,164,58
BodyWeightSquats,112,14
TaiChi,100,90
Punch,160,70
BreastStroke,101,18
Billiards,150,11
BoxingPunchingBag,163,16
BasketballDunk,131,8
PoleVault,149,67
ThrowDiscus,130,92
BaseballPitch,150,6
Knitting,123,49
SumoWrestling,116,86
HorseRiding,164,41
Mixing,136,53
BrushingTeeth,131,19
HighJump,123,39
Skijet,100,81
SkateBoarding,120,79
MilitaryParade,125,52
IceDancing,158,43
CricketShot,167,23
Fencing,111,27
JugglingBalls,121,45
Swing,131,88
RockClimbingIndoor,144,73
PlayingFlute,155,61
SalsaSpin,133,76
CricketBowling,139,22
Typing,136,94
ApplyEyeMakeup,145,0
PlayingTabla,111,65
BalanceBeam,108,4
FloorGymnastics,125,29
HeadMassage,147,38
FrisbeeCatch,126,30
Rowing,137,75
Hammering,140,34
CuttingInKitchen,110,24
BenchPress,160,9
PushUps,102,71
Nunchucks,132,55
Archery,145,2
LongJump,131,50
BlowingCandles,109,13
WallPushups,130,98
PlayingViolin,100,66
PullUps,100,69
PlayingPiano,105,63
PlayingDhol,164,60
FrontCrawl,137,31
HulaHoop,125,42
CliffDiving,138,21
BandMarching,155,5
ParallelBars,114,56
RopeClimbing,119,74
YoYo,128,100
TrampolineJumping,119,93
JumpingJack,123,46
Drumming,161,26
TableTennisShot,140,89
BabyCrawling,132,3
GolfSwing,139,32
PlayingGuitar,160,62
BlowDryHair,131,12
PizzaTossing,113,57
SoccerPenalty,137,84
Lunges,127,51
TennisSwing,166,91
WalkingWithDog,123,97
ShavingBeard,161,77
PlayingDaf,151,59
Bowling,155,15
Surfing,126,87
Kayaking,141,48
PommelHorse,123,68
Basketball,134,7
SkyDiving,110,82
Rafting,111,72
JumpRope,144,47
HandstandWalking,111,37
FieldHockeyPenalty,126,28
CleanAndJerk,112,20
UnevenBars,104,95
Skiing,135,80
Shotput,144,78
Diving,150,25
HandstandPushups,128,36
Haircut,130,33
PlayingSitar,157,64
BoxingSpeedBag,134,17
SoccerJuggling,147,83
MoppingFloor,110,54
JavelinThrow,117,44
WritingOnBoard,152,99
